POLLING PLACE LOCATION,POLLING PLACE ADDRESS,BLDG,PARK,ZIP,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,,,City,State,County,Zip,Country,Source
HARROWGATE PAL CENTER,851 E TIOGA ST,M,L,19134,40.001544,-75.112614,1,rooftop,851,E Tioga St,,,Philadelphia,PA,Philadelphia County,19134,US,Philadelphia
SCANLON RECREATION CENTER,1099 E VENANGO ST,F,N,19134,40.002181,-75.108526,1,range_interpolation,1099,E Venango St,,,Philadelphia,PA,Philadelphia County,19134,US,TIGER/Line® dataset from the US Census Bureau
HARROWGATE PAL CENTER,851 E TIOGA ST,M,L,19134,40.001544,-75.112614,1,rooftop,851,E Tioga St,,,Philadelphia,PA,Philadelphia County,19134,US,Philadelphia
HARROWGATE PAL CENTER,851 E TIOGA ST,M,L,19134,40.001544,-75.112614,1,rooftop,851,E Tioga St,,,Philadelphia,PA,Philadelphia County,19134,US,Philadelphia
SCANLON RECREATION CENTER,1099 E VENANGO ST,F,N,19134,40.002181,-75.108526,1,range_interpolation,1099,E Venango St,,,Philadelphia,PA,Philadelphia County,19134,US,TIGER/Line® dataset from the US Census Bureau
SCANLON RECREATION CENTER,1099 E VENANGO ST,F,N,19134,40.002181,-75.108526,1,range_interpolation,1099,E Venango St,,,Philadelphia,PA,Philadelphia County,19134,US,TIGER/Line® dataset from the US Census Bureau
DIVINITY BANQUET HALL,6011 MARKET ST,F,N,19104,39.962262,-75.241167,0.79,rooftop,6011-13,Market St,,,Philadelphia,PA,Philadelphia County,19139,US,Philadelphia
DIVINITY BANQUET HALL,6011 MARKET ST,F,N,19104,39.962262,-75.241167,0.79,rooftop,6011-13,Market St,,,Philadelphia,PA,Philadelphia County,19139,US,Philadelphia
DIVINITY BANQUET HALL,6011 MARKET ST,F,N,19104,39.962262,-75.241167,0.79,rooftop,6011-13,Market St,,,Philadelphia,PA,Philadelphia County,19139,US,Philadelphia
BARBER SHOP [6026 CALLOWHILL ST],6026 CALLOWHILL ST REAR,M,N,19151,39.967993,-75.24038,1,rooftop,6026,Callowhill St,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
BETTERWAY BIBLE CHURCH,520 N 61ST ST,M,N,19151,39.970521,-75.241375,0.99,rooftop,520-22,N 61st St,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
PRAYER & FAITH TEMPLE COGIC,1541 N 61ST ST,F,L,19151,39.975362,-75.241314,0.99,rooftop,1541-59,N 61st St,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
SWEET UNION BAPTIST CHURCH,1536 N 59TH ST,M,N,19151,39.975443,-75.238878,0.99,rooftop,1536-38,N 59th St,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
TUSTIN RECREATION CENTER,5901 W COLUMBIA AVE,F,N,19151,39.981895,-75.240466,0.99,rooftop,5901-29,W Columbia Ave,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
BETTERWAY BIBLE CHURCH,520 N 61ST ST,M,N,19151,39.970521,-75.241375,0.99,rooftop,520-22,N 61st St,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
PRAYER & FAITH TEMPLE COGIC,1541 N 61ST ST,F,L,19151,39.975362,-75.241314,0.99,rooftop,1541-59,N 61st St,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
GOOD SAMARITAN CHURCH,6148 LANSDOWNE AVE,R,N,19151,39.975385,-75.243363,1,rooftop,6148,Lansdowne Ave,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
SIMPSON-FLETCHER METHODIST CHURCH,6035 JEFFERSON ST,A,L,19151,39.978995,-75.241912,1,rooftop,6035,Jefferson St,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
HARAMBEE INSTITUTE,630-48 N 66TH ST,M,N,19151,39.973182,-75.252173,1,rooftop,630-48,N 66th St,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
OVERBROOK ELEMENTARY SCHOOL TRAILOR,2032 N 62ND ST,M,N,19151,39.982422,-75.245642,1,range_interpolation,2032,N 62nd St,,,Philadelphia,PA,Philadelphia County,19151,US,TIGER/Line® dataset from the US Census Bureau
YARBOROUGH & ROCKE FUNERAL HOME,1001 N 63RD ST,M,L,19151,39.979922,-75.245928,1,rooftop,1001,N 63rd St,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
HADDINGTON LIBRARY,446-64 N 65TH ST,A,N,19151,39.970619,-75.249613,1,rooftop,446-64,N 65th St,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
HADDINGTON LIBRARY,446-64 N 65TH ST,A,N,19151,39.970619,-75.249613,1,rooftop,446-64,N 65th St,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
HARAMBEE INSTITUTE,630-48 N 66TH ST,M,N,19151,39.973182,-75.252173,1,rooftop,630-48,N 66th St,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
HARAMBEE INSTITUTE,630-48 N 66TH ST,M,N,19151,39.973182,-75.252173,1,rooftop,630-48,N 66th St,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
PAPA RECREATION CENTER,6839 LANSDOWNE AVE,M,L,19151,39.974332,-75.255732,1,range_interpolation,6839,Lansdowne Ave,,,Philadelphia,PA,Philadelphia County,19151,US,TIGER/Line® dataset from the US Census Bureau
PAPA RECREATION CENTER,6839 LANSDOWNE AVE,M,L,19151,39.974332,-75.255732,1,range_interpolation,6839,Lansdowne Ave,,,Philadelphia,PA,Philadelphia County,19151,US,TIGER/Line® dataset from the US Census Bureau
BARBER SHOP [6546 LEBANON AVE],6546 LEBANON AVE,M,N,19151,39.976894,-75.251746,1,rooftop,6546,Lebanon Ave,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
OVERBROOK PRESBYTERIAN CHURCH,6376 CITY AVE,A,L,19151,39.988295,-75.25299,0.99,rooftop,6376-78,City Ave,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
OVERBROOK TOWERS APARTMENTS,1101 N 63RD ST,A,L,19151,39.98091,-75.246036,1,rooftop,1101,N 63rd St,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
AFRICAN EPISCOPAL CHURCH OF ST THOMAS,6361 LANCASTER AVE,M,L,19151,39.987099,-75.251042,1,range_interpolation,6361,Lancaster Ave,,,Philadelphia,PA,Philadelphia County,19151,US,TIGER/Line® dataset from the US Census Bureau
HADDINGTON LIBRARY,446-64 N 65TH ST,A,N,19151,39.970619,-75.249613,1,rooftop,446-64,N 65th St,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
LAMBERTON LITTLE SCHOOLHOUSE,1625 N 76TH ST,F,L,19151,39.975,-75.267625,1,range_interpolation,1625,N 76th St,,,Philadelphia,PA,Philadelphia County,19151,US,TIGER/Line® dataset from the US Census Bureau
HADDINGTON LIBRARY,446-64 N 65TH ST,A,N,19151,39.970619,-75.249613,1,rooftop,446-64,N 65th St,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
LAMBERTON LITTLE SCHOOLHOUSE,1625 N 76TH ST,F,L,19151,39.975,-75.267625,1,range_interpolation,1625,N 76th St,,,Philadelphia,PA,Philadelphia County,19151,US,TIGER/Line® dataset from the US Census Bureau
LAMBERTON SCHOOL,7501 WOODBINE AVE,M,L,19151,39.975688,-75.267,1,rooftop,7501,Woodbine Ave,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
LAMBERTON SCHOOL,7501 WOODBINE AVE,M,L,19151,39.975688,-75.267,1,rooftop,7501,Woodbine Ave,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
OVERBROOK LIBRARY,7422 HAVERFORD AVE,F,L,19151,39.976029,-75.264064,1,rooftop,7422,Haverford Ave,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
OVERBROOK ELEMENTARY SCHOOL TRAILOR,2032 N 62ND ST,M,N,19151,39.982422,-75.245642,1,range_interpolation,2032,N 62nd St,,,Philadelphia,PA,Philadelphia County,19151,US,TIGER/Line® dataset from the US Census Bureau
OVERBROOK PRESBYTERIAN CHURCH,6376 CITY AVE,A,L,19151,39.988295,-75.25299,0.99,rooftop,6376-78,City Ave,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
TRUE IMAGE SALON,1660 N 62ND ST,M,N,19151,39.976886,-75.244122,1,rooftop,1660,N 62nd St,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
DIVINITY BANQUET HALL,6011 MARKET ST,F,N,19104,39.962262,-75.241167,0.79,rooftop,6011-13,Market St,,,Philadelphia,PA,Philadelphia County,19139,US,Philadelphia
OVERBROOK LIBRARY,7422 HAVERFORD AVE,F,L,19151,39.976029,-75.264064,1,rooftop,7422,Haverford Ave,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
MEMORIAL GOSPEL CHURCH,6224 MARKET ST,R,L,19139,39.962239,-75.245652,0.99,rooftop,6224-30,Market St,,,Philadelphia,PA,Philadelphia County,19139,US,Philadelphia
OVERBROOK LIBRARY,7422 HAVERFORD AVE,F,L,19151,39.976029,-75.264064,1,rooftop,7422,Haverford Ave,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
LAMBERTON LITTLE SCHOOLHOUSE,1625 N 76TH ST,F,L,19151,39.975,-75.267625,1,range_interpolation,1625,N 76th St,,,Philadelphia,PA,Philadelphia County,19151,US,TIGER/Line® dataset from the US Census Bureau
OVERBROOK LIBRARY,7422 HAVERFORD AVE,F,L,19151,39.976029,-75.264064,1,rooftop,7422,Haverford Ave,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
PRAYER & FAITH TEMPLE COGIC,1541 N 61ST ST,F,L,19151,39.975362,-75.241314,0.99,rooftop,1541-59,N 61st St,,,Philadelphia,PA,Philadelphia County,19151,US,Philadelphia
KINDER ACADEMY AT TRINITY,6901 RISING SUN AVE,R,L,19111,40.055037,-75.087689,1,rooftop,6901,Rising Sun Ave,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
TRINITY CHURCH OXFORD (BUCHANAN BLDG),603 LONGSHORE AVE,M,N,19111,40.054754,-75.087723,1,range_interpolation,603,Longshore Ave,,,Philadelphia,PA,Philadelphia County,19111,US,TIGER/Line® dataset from the US Census Bureau
TRINITY CHURCH OXFORD (BUCHANAN BLDG),603 LONGSHORE AVE,M,N,19111,40.054754,-75.087723,1,range_interpolation,603,Longshore Ave,,,Philadelphia,PA,Philadelphia County,19111,US,TIGER/Line® dataset from the US Census Bureau
CEDAR GROVE CHRISTIAN ACADEMY,6445 BINGHAM ST,F,N,19111,40.049068,-75.093052,1,range_interpolation,6445,Bingham St,,,Philadelphia,PA,Philadelphia County,19111,US,TIGER/Line® dataset from the US Census Bureau
CEDAR GROVE CHRISTIAN ACADEMY,6445 BINGHAM ST,F,N,19111,40.049068,-75.093052,1,range_interpolation,6445,Bingham St,,,Philadelphia,PA,Philadelphia County,19111,US,TIGER/Line® dataset from the US Census Bureau
PHILADELPHIA BIBLE FELLOWSHIP,6312-14 RISING SUN AVE,F,N,19111,40.04892,-75.096734,1,rooftop,6312-14,Rising Sun Ave,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
PHILADELPHIA BIBLE FELLOWSHIP,6312-14 RISING SUN AVE,F,N,19111,40.04892,-75.096734,1,rooftop,6312-14,Rising Sun Ave,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
PHILADELPHIA BIBLE FELLOWSHIP,6312-14 RISING SUN AVE,F,N,19111,40.04892,-75.096734,1,rooftop,6312-14,Rising Sun Ave,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
LAWNCREST LIBRARY,6098 RISING SUN AVE,R,N,19111,40.04617,-75.100023,1,range_interpolation,6098,Rising Sun Ave,,,Philadelphia,PA,Philadelphia County,19111,US,TIGER/Line® dataset from the US Census Bureau
LAWNCREST RECREATION CENTER,6000 RISING SUN AVE,F,H,19111,40.046699,-75.101604,1,rooftop,6000,Rising Sun Ave,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
LAWNCREST RECREATION CENTER,6000 RISING SUN AVE,F,H,19111,40.046699,-75.101604,1,rooftop,6000,Rising Sun Ave,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
LAWNCREST LIBRARY,6098 RISING SUN AVE,R,N,19111,40.04617,-75.100023,1,range_interpolation,6098,Rising Sun Ave,,,Philadelphia,PA,Philadelphia County,19111,US,TIGER/Line® dataset from the US Census Bureau
LAWNCREST RECREATION CENTER,6000 RISING SUN AVE,F,H,19111,40.046699,-75.101604,1,rooftop,6000,Rising Sun Ave,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
OXFORD VILLAGE HOMES (PHA),6150 ALGON AVE,F,L,19111,40.041187,-75.088499,1,range_interpolation,6150,Algon Ave,,,Philadelphia,PA,Philadelphia County,19111,US,TIGER/Line® dataset from the US Census Bureau
NEW FELS HIGH SCHOOL,5500 LANGDON ST,F,H,19124,40.036723,-75.092385,1,rooftop,5500,Langdon St,,,Philadelphia,PA,Philadelphia County,19124,US,Philadelphia
NEW FELS HIGH SCHOOL,5500 LANGDON ST,F,H,19124,40.036723,-75.092385,1,rooftop,5500,Langdon St,,,Philadelphia,PA,Philadelphia County,19124,US,Philadelphia
NEW FELS HIGH SCHOOL,5500 LANGDON ST,F,H,19124,40.036723,-75.092385,1,rooftop,5500,Langdon St,,,Philadelphia,PA,Philadelphia County,19124,US,Philadelphia
FRANKLIN SCHOOL,5735 RISING SUN AVE,M,L,19120,40.042152,-75.104989,1,rooftop,5735,Rising Sun Ave,,,Philadelphia,PA,Philadelphia County,19120,US,Philadelphia
FRANKLIN SCHOOL,5735 RISING SUN AVE,M,L,19120,40.042152,-75.104989,1,rooftop,5735,Rising Sun Ave,,,Philadelphia,PA,Philadelphia County,19120,US,Philadelphia
FRANKLIN SCHOOL,5735 RISING SUN AVE,M,L,19120,40.042152,-75.104989,1,rooftop,5735,Rising Sun Ave,,,Philadelphia,PA,Philadelphia County,19120,US,Philadelphia
FRANKLIN SCHOOL,5735 RISING SUN AVE,M,L,19120,40.042152,-75.104989,1,rooftop,5735,Rising Sun Ave,,,Philadelphia,PA,Philadelphia County,19120,US,Philadelphia
NEW FELS HIGH SCHOOL,5500 LANGDON ST,F,H,19124,40.036723,-75.092385,1,rooftop,5500,Langdon St,,,Philadelphia,PA,Philadelphia County,19124,US,Philadelphia
HOUSEMAN RECREATION CENTER,5091 SUMMERDALE AVE,F,L,19124,40.030523,-75.093646,1,range_interpolation,5091,Summerdale Ave,,,Philadelphia,PA,Philadelphia County,19124,US,TIGER/Line® dataset from the US Census Bureau
HOUSEMAN RECREATION CENTER,5091 SUMMERDALE AVE,F,L,19124,40.030523,-75.093646,1,range_interpolation,5091,Summerdale Ave,,,Philadelphia,PA,Philadelphia County,19124,US,TIGER/Line® dataset from the US Census Bureau
LAWNCREST RECREATION CENTER,6000 RISING SUN AVE,F,H,19111,40.046699,-75.101604,1,rooftop,6000,Rising Sun Ave,,,Philadelphia,PA,Philadelphia County,19111,US,Philadelphia
HOUSEMAN RECREATION CENTER,5091 SUMMERDALE AVE,F,L,19124,40.030523,-75.093646,1,range_interpolation,5091,Summerdale Ave,,,Philadelphia,PA,Philadelphia County,19124,US,TIGER/Line® dataset from the US Census Bureau
UNIVERSAL CREIGHTON LSH,5401 TABOR AVE,M,L,19120,40.034486,-75.10493,1,rooftop,5401,Tabor Ave,,,Philadelphia,PA,Philadelphia County,19120,US,Philadelphia
FRANKLIN SCHOOL,5735 RISING SUN AVE,M,L,19120,40.042152,-75.104989,1,rooftop,5735,Rising Sun Ave,,,Philadelphia,PA,Philadelphia County,19120,US,Philadelphia
UNIVERSAL CREIGHTON LSH,5401 TABOR AVE,M,L,19120,40.034486,-75.10493,1,rooftop,5401,Tabor Ave,,,Philadelphia,PA,Philadelphia County,19120,US,Philadelphia
UNIVERSAL CREIGHTON LSH,5401 TABOR AVE,M,L,19120,40.034486,-75.10493,1,rooftop,5401,Tabor Ave,,,Philadelphia,PA,Philadelphia County,19120,US,Philadelphia
FRANKLIN SCHOOL,5735 RISING SUN AVE,M,L,19120,40.042152,-75.104989,1,rooftop,5735,Rising Sun Ave,,,Philadelphia,PA,Philadelphia County,19120,US,Philadelphia
CEDAR GROVE CHRISTIAN ACADEMY,6445 BINGHAM ST,F,N,19111,40.049068,-75.093052,1,range_interpolation,6445,Bingham St,,,Philadelphia,PA,Philadelphia County,19111,US,TIGER/Line® dataset from the US Census Bureau
CHEW RECREATION CENTER,1800 WASHINGTON AVE,R,L,19146,39.938236,-75.174033,1,rooftop,1800,Washington Ave,,,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
LINCOLN POST # 89 AMERICAN LEGION,1940 FEDERAL ST,M,N,19146,39.93706,-75.176475,0.99,rooftop,1940-42,Federal St,,,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
LINCOLN POST # 89 AMERICAN LEGION,1940 FEDERAL ST,M,N,19146,39.93706,-75.176475,0.99,rooftop,1940-42,Federal St,,,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
WHARTON SQUARE RECREATION CENTER,2300 WHARTON ST,F,N,19146,39.936182,-75.182285,1,range_interpolation,2300,Wharton St,,,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
GREATER MT SINAI BAPTIST CHURCH,1228 S 21ST ST,M,N,19146,39.936673,-75.179031,1,rooftop,1228,S 21st St,,,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
QUEEN MEMORIAL LIBRARY,1201 S 23RD ST,F,L,19146,39.937747,-75.181201,1,rooftop,1201,S 23rd St,,,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
WHARTON SQUARE RECREATION CENTER,2300 WHARTON ST,F,N,19146,39.936182,-75.182285,1,range_interpolation,2300,Wharton St,,,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
MITCHUM WILSON FUNERAL HOME,1410 S 20TH ST,M,N,19146,39.933999,-75.177788,1,rooftop,1410,S 20th St,,,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
LINCOLN POST # 89 AMERICAN LEGION,1940 FEDERAL ST,M,N,19146,39.93706,-75.176475,0.99,rooftop,1940-42,Federal St,,,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
MITCHUM WILSON FUNERAL HOME,1410 S 20TH ST,M,N,19146,39.933999,-75.177788,1,rooftop,1410,S 20th St,,,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
2ND NAZARETH MISSIONARY BAPTIST CHURCH,1800 TASKER ST,M,N,19145,39.931457,-75.174764,1,range_interpolation,1800,Tasker St,,,Philadelphia,PA,Philadelphia County,19145,US,TIGER/Line® dataset from the US Census Bureau
POINT BREEZE COURT (PHA),2100 DICKINSON ST,F,N,19146,39.932895,-75.18025,1,rooftop,2100,Dickinson St,,,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
McDANIEL SCHOOL,1801 S 22ND ST,F,N,19145,39.929397,-75.1812,1,rooftop,1801,S 22nd St,,,Philadelphia,PA,Philadelphia County,19145,US,Philadelphia
XCLUSIVELY YOURS EVENTS,1610 S 26TH ST,A,N,19145,39.932915,-75.188283,1,range_interpolation,1610,S 26th St,,,Philadelphia,PA,Philadelphia County,19145,US,TIGER/Line® dataset from the US Census Bureau
McDANIEL SCHOOL,1801 S 22ND ST,F,N,19145,39.929397,-75.1812,1,rooftop,1801,S 22nd St,,,Philadelphia,PA,Philadelphia County,19145,US,Philadelphia
POINT BREEZE COURT (PHA),2100 DICKINSON ST,F,N,19146,39.932895,-75.18025,1,rooftop,2100,Dickinson St,,,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
WHARTON SQUARE RECREATION CENTER,2300 WHARTON ST,F,N,19146,39.936182,-75.182285,1,range_interpolation,2300,Wharton St,,,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
WHARTON SQUARE RECREATION CENTER,2300 WHARTON ST,F,N,19146,39.936182,-75.182285,1,range_interpolation,2300,Wharton St,,,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
McDANIEL SCHOOL,1801 S 22ND ST,F,N,19145,39.929397,-75.1812,1,rooftop,1801,S 22nd St,,,Philadelphia,PA,Philadelphia County,19145,US,Philadelphia
QUEEN MEMORIAL LIBRARY,1201 S 23RD ST,F,L,19146,39.937747,-75.181201,1,rooftop,1201,S 23rd St,,,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
WHARTON SQUARE RECREATION CENTER,2300 WHARTON ST,F,N,19146,39.936182,-75.182285,1,range_interpolation,2300,Wharton St,,,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
XCLUSIVELY YOURS EVENTS,1610 S 26TH ST,A,N,19145,39.932915,-75.188283,1,range_interpolation,1610,S 26th St,,,Philadelphia,PA,Philadelphia County,19145,US,TIGER/Line® dataset from the US Census Bureau
PROGRESSIVE WORSHIP CENTER,1140 S 26TH ST,M,N,19146,39.938876,-75.187026,0.99,rooftop,1140-46,S 26th St,,,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
XCLUSIVELY YOURS EVENTS,1610 S 26TH ST,A,N,19145,39.932915,-75.188283,1,range_interpolation,1610,S 26th St,,,Philadelphia,PA,Philadelphia County,19145,US,TIGER/Line® dataset from the US Census Bureau
BARRETT NABUURS CENTER,2744 DICKINSON ST,A,N,19146,39.934465,-75.190745,1,rooftop,2744,Dickinson St,,,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
D FINNEGAN RECREATION CENTER,1231 S 30TH ST,F,N,19146,39.938047,-75.193013,1,rooftop,1231,S 30th St,,,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
BARRETT NABUURS CENTER,2744 DICKINSON ST,A,N,19146,39.934465,-75.190745,1,rooftop,2744,Dickinson St,,,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
D FINNEGAN RECREATION CENTER,1231 S 30TH ST,F,N,19146,39.938047,-75.193013,1,rooftop,1231,S 30th St,,,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
DISILVESTRO RECREATION CENTER,1701 S 15TH ST,F,N,19145,39.929627,-75.170324,1,range_interpolation,1701,S 15th St,,,Philadelphia,PA,Philadelphia County,19145,US,TIGER/Line® dataset from the US Census Bureau
UNIVERSAL AUDENRIED CHARTER SCHOOL,3301 TASKER ST,F,L,19145,39.934313,-75.19924,1,range_interpolation,3301,Tasker St,,,Philadelphia,PA,Philadelphia County,19145,US,TIGER/Line® dataset from the US Census Bureau
2ND NAZARETH MISSIONARY BAPTIST CHURCH,1800 TASKER ST,M,N,19145,39.931457,-75.174764,1,range_interpolation,1800,Tasker St,,,Philadelphia,PA,Philadelphia County,19145,US,TIGER/Line® dataset from the US Census Bureau
D FINNEGAN RECREATION CENTER,1231 S 30TH ST,F,N,19146,39.938047,-75.193013,1,rooftop,1231,S 30th St,,,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
UNIVERSAL AUDENRIED CHARTER SCHOOL,3301 TASKER ST,F,L,19145,39.934313,-75.19924,1,range_interpolation,3301,Tasker St,,,Philadelphia,PA,Philadelphia County,19145,US,TIGER/Line® dataset from the US Census Bureau
BARRATT SCHOOL,1599 WHARTON ST,M,N,19146,39.934711,-75.170689,1,range_interpolation,1599,Wharton St,,,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
BARRATT SCHOOL,1599 WHARTON ST,M,N,19146,39.934711,-75.170689,1,range_interpolation,1599,Wharton St,,,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
BARRATT SCHOOL,1599 WHARTON ST,M,N,19146,39.934711,-75.170689,1,range_interpolation,1599,Wharton St,,,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
REED ST PRESBYTERIAN APARTMENTS,1401 S 16TH ST,M,N,19146,39.9329,-75.17088,0.99,rooftop,1401-35,S 16th St,,,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
REED ST PRESBYTERIAN APARTMENTS,1401 S 16TH ST,M,N,19146,39.9329,-75.17088,0.99,rooftop,1401-35,S 16th St,,,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
CHEW RECREATION CENTER,1800 WASHINGTON AVE,R,L,19146,39.938236,-75.174033,1,rooftop,1800,Washington Ave,,,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
BARRATT SCHOOL,1599 WHARTON ST,M,N,19146,39.934711,-75.170689,1,range_interpolation,1599,Wharton St,,,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
DISILVESTRO RECREATION CENTER,1701 S 15TH ST,F,N,19145,39.929627,-75.170324,1,range_interpolation,1701,S 15th St,,,Philadelphia,PA,Philadelphia County,19145,US,TIGER/Line® dataset from the US Census Bureau
EBENEZER BAPTIST CHURCH,2259 N 10TH ST,F,N,19133,39.986797,-75.148786,0.99,rooftop,2259-65,N 10th St,,,Philadelphia,PA,Philadelphia County,19133,US,Philadelphia
PENROSE RECREATION CENTER,1101 W SUSQUEHANNA AVE,F,N,19122,39.986046,-75.1517,1,rooftop,1101,W Susquehanna Ave,,,Philadelphia,PA,Philadelphia County,19122,US,Philadelphia
HOPE PARTNERSHIP FOR EDUCATION,2601 N 11TH ST,B,N,19133,39.991962,-75.149175,0.99,rooftop,2601-13,N 11th St,,,Philadelphia,PA,Philadelphia County,19133,US,Philadelphia
PENROSE RECREATION CENTER,1101 W SUSQUEHANNA AVE,F,N,19122,39.986046,-75.1517,1,rooftop,1101,W Susquehanna Ave,,,Philadelphia,PA,Philadelphia County,19122,US,Philadelphia
HOPE PARTNERSHIP FOR EDUCATION,2601 N 11TH ST,B,N,19133,39.991962,-75.149175,0.99,rooftop,2601-13,N 11th St,,,Philadelphia,PA,Philadelphia County,19133,US,Philadelphia
HOPE PARTNERSHIP FOR EDUCATION,2601 N 11TH ST,B,N,19133,39.991962,-75.149175,0.99,rooftop,2601-13,N 11th St,,,Philadelphia,PA,Philadelphia County,19133,US,Philadelphia
HOPE PARTNERSHIP FOR EDUCATION,2601 N 11TH ST,B,N,19133,39.991962,-75.149175,0.99,rooftop,2601-13,N 11th St,,,Philadelphia,PA,Philadelphia County,19133,US,Philadelphia
HOPE PARTNERSHIP FOR EDUCATION,2601 N 11TH ST,B,N,19133,39.991962,-75.149175,0.99,rooftop,2601-13,N 11th St,,,Philadelphia,PA,Philadelphia County,19133,US,Philadelphia
WARNOCK VILLAGE (PHA),2862 GERMANTOWN AVE,F,H,19133,39.995629,-75.14762,1,rooftop,2862,Germantown Ave,,,Philadelphia,PA,Philadelphia County,19133,US,Philadelphia
12TH & CAMBRIA RECREATION CENTER,2901 N 12TH ST,F,L,19122,39.996979,-75.149812,0.82,nearest_rooftop_match,2923,N 12th St,,,Philadelphia,PA,Philadelphia County,19133,US,Philadelphia
MASTERY CLYMER CHARTER SCHOOL,1201 W RUSH ST,M,L,19133,39.995418,-75.150348,1,range_interpolation,1201,W Rush St,,,Philadelphia,PA,Philadelphia County,19133,US,TIGER/Line® dataset from the US Census Bureau
MASTERY CLYMER CHARTER SCHOOL,1201 W RUSH ST,M,L,19133,39.995418,-75.150348,1,range_interpolation,1201,W Rush St,,,Philadelphia,PA,Philadelphia County,19133,US,TIGER/Line® dataset from the US Census Bureau
GREATER IMPACT WORSHIP CENTER,2428 N FAIRHILL ST,R,N,19133,39.988513,-75.142623,0.99,rooftop,2428-34,N Fairhill St,,,Philadelphia,PA,Philadelphia County,19133,US,Philadelphia
